Code,Food name,Edible conversion factor,Energy (kj),Water (g),Ash (g),Protein (g),Fat (g),Fibre (g),Carbohydrate available (g),Energy (kcal),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (mcg),Vit A-RAE (mcg),Vit A-RE (mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Dietary Folate Eq. (mcg),Food folate (mcg),Vit B12 (mcg),Vit C (mg)
2014,"Sweetpotato, orange, biofortified, raw",0.92,325,78.7,0.7,1.9,0.1,3,15.6,76.9,27,0.5,14,33,250,10,0.5,1,517,1030,0,[6200],0.03,0.05,1,11,11,0,31
 n,,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
2028,"Sweetpotato, orange, biofortified, boiled, drained (without salt)",,325,78.7,0.7,1.9,0.1,3,15.6,77,26,0.5,13,31,200,8,0.45,0,491,981,0,5890,0.02,0.04,0.8,7,7,0,22
2015,"Sweet potato, pink skin",0.84,349,76.8,1.3,1.8,[0.6],3.9,15.6,83,14,1,19,61,247,11,0.14,0,1,2,0,11,0.07,0.03,0.7,14,14,0,22
SD or min-max,,,,,,,,,,,,0.5-1.4,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,2,1,1,1,1,1,1,,,,,1,1,1,,1,,1
2029,"Sweet potato, pink skin, boiled, drained (without salt)",,349,76.8,1.3,1.8,0.6,3.9,15.6,83,13,0.9,17,57,198,9,0.13,0,1,2,0,11,0.05,0.03,0.5,9,9,0,16
2016,"Taro, peeled, raw",0.9,411,73,1.2,1.8,0.2,3.5,20.3,97,51,0.7,20,88,300,10,0.6,1,3,5,0,[30],0.1,0.03,0.7,22,22,0,12
SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-16
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,,2
2017,"Turnip, root, raw",0.77,94,93.1,0.8,0.7,[0.2],1.7,3.6,22,34,0.5,11,39,320,29,0.2,1,0,0,0,0,0.04,0.04,0.7,15,15,0,23
SD or min-max,,,,,,,,,,,30-38,,,11,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,2,1,1,3,1,1,1,1,,,1,,1,1,1,,1,,1
2018,"Yam, flour",1,1320,14,2,3.4,[0.4],12.8,67.4,312,20,1.1,50,110,818,28,1,2,0,0,0,tr,tr,tr,1,43,43,0,tr
SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,,,,,1,,1,,
2019,"Yam, white, raw",0.81,475,69,1.1,1.9,[0.2],4.1,23.7,112,16,0.8,18,61,295,10,0.27,1,0,0,0,0,0.11,0.02,0.4,16,16,0,[6]
SD or min-max,,,,,,,,,,,15-17,,15-21,,,,0.24-0.3,,,,,,,,0.2-0.6,,8-23,,
 n,,,,1,1,1,1,1,,,2,1,2,1,1,1,2,1,,,,,1,1,2,,2,,1
2030,"Yam, white, boiled, drained (without salt)",,500,67.4,1.2,2,0.2,4.3,24.9,118,16,0.8,17,60,248,8,0.26,1,0,0,0,0,0.09,0.02,0.3,10,10,0,4
3001,"Beans, broad, dry, raw",1,1280,10.9,3.29,25.7,1.53,22.9,35.6,305,96,5.19,135,431,1190,25,3.55,8,2,5,0,29,0.56,0.33,2.41,250,250,0,1.4
SD or min-max ,,,,10.9-11,,25.3-26.1,,20.8-25,,,,,,,,,,,,,,,0.56-0.56,,,,,,
 n,,,,2,1,2,1,2,,,1,1,1,1,1,1,1,1,,,,,2,1,1,,1,,1
3023,"Beans, broad, dry, unsoaked, boiled, drained (without salt)",1,458,68.2,1.2,9.2,0.5,8.2,12.7,109,31,1.6,42,138,319,9,1.14,3,1,2,0,10,0.13,0.09,0.6,45,45,0,0
3024,"Beans, broad, dry, unsoaked, boiled (without salt, water not discarded)",1,279,80.6,0.8,5.6,0.3,5,7.7,66,23,1.1,30,94,259,8,0.77,2,1,1,0,6,0.1,0.07,0.4,33,33,0,0
3025,"Beans, broad, dry, water-soaked, boiled in different water, drained (without salt)",1,458,68.2,1.2,9.2,0.5,8.2,12.7,109,31,1.6,42,138,319,9,1.14,3,1,2,0,10,0.13,0.09,0.6,45,45,0,0
3026,"Beans, broad, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,279,80.6,0.8,5.6,0.3,5,7.7,66,23,1.1,30,94,259,8,0.77,2,1,1,0,6,0.1,0.07,0.4,33,33,0,0
3002,"Beans, broad, fresh, raw",1,345,75,1.3,7.2,0.5,7.1,8.7,82,26,1.6,29,427,275,2,1.1,8,16,32,0,195,0.12,0.14,2,284,284,0,41
SD or min-max ,,,,9.42,0.4,1.1,,,,,10.4,0.2,,406-449,250-300,2-2,0.9-1.2,,,,,,0.08-0.15,0.12-0.15,,,145-423,,
 n,,,,3,3,5,1,1,,,3,3,1,2,2,2,2,1,,,,,2,2,1,,2,,1
3027,"Beans, broad, fresh, boiled, drained (without salt)",1,363,73.9,1.3,7.5,0.5,7.5,9.2,87,26,1.3,18,405,145,2,0.83,8,15,31,0,184,0.08,0.09,1.4,149,149,0,28
3003,"Beans, cluster, fresh, raw",0.86,232,82.9,1.4,6.19,0.4,4.8,4.4,55,121,5.6,73,50,301,4,0.61,2,20,40,0,241,0.09,0.03,0.7,[41],[41],0,49
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
3028,"Beans, cluster, fresh, boiled, drained (without salt)",1,244,82,1.4,6.5,0.4,5.1,4.6,58,121,4.4,46,47,158,3,0.48,2,19,38,0,228,0.06,0.02,0.5,22,22,0,34
3004,"Beans, kidney, dry, raw",1,1280,12.1,3.6,20.5,2,21.2,40.6,305,106,6.4,103,600,872,22,2.78,4,1,1,0,6,0.35,0.18,2.4,272,272,0,0.3
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
3029,"Beans, kidney, dry, unsoaked, boiled, drained (without salt)",1,491,66.3,1.4,7.9,0.8,8.1,15.5,117,36,2.1,34,207,251,8,0.96,2,0,0,0,2,0.09,0.05,0.6,52,52,0,0
3030,"Beans, kidney, dry, unsoaked, boiled (without salt, water not discarded)",1,296,79.7,0.9,4.7,0.5,4.9,9.4,70,27,1.5,25,139,202,7,0.64,1,0,0,0,1,0.06,0.04,0.4,38,38,0,0
3031,"Beans, kidney, dry, water-soaked, boiled in different water, drained (without salt)",1,491,66.3,1.4,7.9,0.8,8.1,15.5,117,36,2.1,34,207,251,8,0.96,2,0,0,0,2,0.09,0.05,0.6,52,52,0,0
3032,"Beans, kidney, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,296,79.7,0.9,4.7,0.5,4.9,9.4,70,27,1.5,25,139,202,7,0.64,1,0,0,0,1,0.06,0.04,0.4,38,38,0,0
3005,"Beans, lima, dry, raw",1,1260,13.6,4.5,22.4,1.63,18.2,39.7,299,64,9.9,158,387,1447,7,2.6,6,0,0,0,0,0.53,0.16,1.5,381,381,0,1
SD or min-max ,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,3,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
3033,"Beans, lima, dry, unsoaked, boiled, drained (without salt)",1,504,65.4,1.8,8.9,0.7,7.3,15.9,120,23,3.4,54,139,434,4,0.95,2,0,0,0,0,0.14,0.05,0.4,76,76,0,0
3034,"Beans, lima, dry, unsoaked, boiled (without salt, water not discarded)",1,291,80,1.1,5.2,0.4,4.2,9.2,69,17,2.3,37,89,334,4,0.61,1,0,0,0,0,0.1,0.04,0.3,53,53,0,0
3035,"Beans, lima, dry, water-soaked, boiled in different water, drained (without salt)",1,504,65.4,1.8,8.9,0.7,7.3,15.9,120,23,3.4,54,139,434,4,0.95,2,0,0,0,0,0.14,0.05,0.4,76,76,0,0
3036,"Beans, lima, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,291,80,1.1,5.2,0.4,4.2,9.2,69,17,2.3,37,89,334,4,0.61,1,0,0,0,0,0.1,0.04,0.3,53,53,0,0
3006,"Bean, red, fresh, raw",0.38,553,61.6,1.5,12.8,0.4,9.1,14.6,131,12,2.4,18,100,490,3,1,2,2,3,0,20,0.18,0.11,2,130,130,0,27
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
3007,"Beans, shellie, canned, solid & liquids",1,112,90.7,1.2,1.8,0.2,3.4,2.8,27,29,1,15,30,109,334,0.27,2,11,23,0,137,0.03,0.05,0.21,18,18,0,3.1
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
3008,"Bonavist, dry, raw",1,1350,10.3,3.4,23.1,[1.4],16.4,45.3,319,59,7.13,145,334,1000,18,2.49,8,0,1,0,5,0.59,0.17,2.86,23,23,0,0
SD or min-max ,,,,0.5,0.2,1.9,0.5,,,,8.69,1.63,60,69,969-1040,,,,,,,,,,,,,,
 n,,,,3,3,6,5,1,,,3,3,3,4,2,1,1,1,,,,,1,1,1,,1,,1
3037,"Bonavist, dry, unsoaked, boiled, drained (without salt)",1,516,65.6,1.3,8.9,0.5,6.3,17.4,122,21,2.3,48,115,289,7,0.86,3,0,0,0,2,0.15,0.05,0.7,4,4,0,0
3038,"Bonavist, dry, unsoaked, boiled (without salt, water not discarded)",1,430,71.3,1.1,7.4,0.4,5.2,14.5,102,21,2.3,47,107,321,9,0.8,3,0,0,0,2,0.15,0.05,0.7,4,4,0,0
3039,"Bonavist, dry, water-soaked, boiled in different water, drained (without salt)",1,516,65.6,1.3,8.9,0.5,6.3,17.4,122,21,2.3,48,115,289,7,0.86,3,0,0,0,2,0.15,0.05,0.7,4,4,0,0
3040,"Bonavist, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,326,78.3,0.9,5.6,0.3,4,11,77,16,1.7,36,81,244,7,0.6,2,0,0,0,1,0.11,0.04,0.6,3,3,0,0
3009,"Bonavist, fresh, raw",1,521,63.3,1.5,5.8,0.6,10,18.8,124,31,2.5,380,118,762,6,1.12,5,43,86,0,519,0.54,0.14,0.52,188,188,0,0
SD or min-max ,,,,,,2.1-9.5,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,2,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,0,1
3010,"Chick peas, whole, dry, raw",1,1350,9.9,3.1,22.3,5.1,25.2,34.3,323,235,6.8,160,284,1030,25,3.37,41,15,29,0,175,0.48,0.16,2.1,400,400,0,8
SD or min-max ,,,,0.1,0.1,2,,,,,28,,,24,,,,,,,,,,,,,,,
 n,,,,3,3,3,1,1,,,3,1,1,3,1,1,1,1,,,,,1,1,1,,1,,1
3041,"Chick peas, whole, dry, unsoaked, boiled, drained (without salt)",1,601,59.9,1.4,9.9,2.3,11.2,15.3,143,90,2.6,61,114,342,10,1.35,18,6,13,0,78,0.14,0.05,0.6,89,89,0,2
3042,"Chick peas, whole, unsoaked, boiled (without salt, water not discarded)",1,430,71.4,1,7.1,1.6,8,10.9,102,76,2.2,51,90,326,10,1.07,13,5,9,0,55,0.12,0.05,0.5,76,76,0,2
3043,"Chick peas, whole, dry, water-soaked, boiled in different water, drained (without salt)",1,601,59.9,1.4,9.9,2.3,11.2,15.3,143,90,2.6,61,114,342,10,1.35,18,6,13,0,78,0.14,0.05,0.6,89,89,0,2
3044,"Chick peas, whole, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,430,71.4,1,7.1,1.6,8,10.9,102,76,2.2,51,90,326,10,1.07,13,5,9,0,55,0.12,0.05,0.5,76,76,0,2
3011,"Cowpeas, dry, raw",1,1320,12.4,3.6,25.3,1.1,14.3,43.3,313,112,5.97,322,276,1380,22,3.37,-,2,3,0,19,0.9,0.15,2.4,439,439,0,1.5
SD or min-max ,,,,1.3,0.5,4,1.1-1.1,,,,32,2.01,285,50,643,13,,,,,,,,,,,,,
 n,,,,18,17,19,2,1,,,13,12,12,18,10,10,2,,,,,,1,1,1,,1,,1
3045,"Cowpeas, dry, unsoaked, boiled, drained (without salt)",1,495,67.1,1.4,9.5,0.4,5.4,16.2,117,37,1.9,103,93,389,8,1.14,0,1,1,0,7,0.22,0.04,0.6,82,82,0,0
3046,"Cowpeas, unsoaked, boiled (without salt, water not discarded)",1,299,80.1,0.8,5.7,0.3,3.2,9.8,71,27,1.4,74,62,313,7,0.76,0,0,1,0,4,0.16,0.03,0.4,60,60,0,0
3047,"Cowpeas, dry, water-soaked, boiled in different water, drained (without salt)",1,495,67.1,1.4,9.5,0.4,5.4,16.2,117,37,1.9,103,93,389,8,1.14,0,1,1,0,7,0.22,0.04,0.6,82,82,0,0
3048,"Cowpeas, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,299,80.1,0.8,5.7,0.3,3.2,9.8,71,27,1.4,74,62,313,7,0.76,0,0,1,0,4,0.16,0.03,0.4,60,60,0,0
3012,"Cowpeas, fresh, raw",1,526,63.8,1.7,4.6,0.6,8,21.5,125,200,1.7,81,84,685,6,1.61,4,65,130,0,,0.14,0.1,2.3,267,267,0,4
SD or min-max ,,,,63.8-63.8,1.7-1.8,4.6-4.6,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,2,2,2,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
3049,"Cowpeas, fresh, boiled, drained (without salt)",1,554,61.8,1.8,4.8,0.6,8.4,22.6,132,200,1.4,51,80,361,5,1.27,3,62,31,,,0.1,0.07,1.6,141,141,0,3
3013,"Flour, soya, full fat",1,1830,7,4.37,37,20.2,9.41,22,437,200,6.25,421,484,2470,12.7,3.84,7,6,12,0,71,0.8,0.3,4.2,338,338,0,0
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
3014,"Flour, soya, low fat",1,1510,7,5.9,45,8.68,15.6,17.8,361,240,9.1,278,658,2040,9,4,57,2,4,0,23,0.8,0.4,2.9,282,282,0,0
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
3015,"Garden peas, fresh, raw",0.41,392,72.5,1,7.9,0.7,8,9.8,93,28.2,2.63,30.15,108,249,3.66,4.65,2,30,60,0,363,0.29,0.13,2.3,216,216,0,38.4
SD or min-max ,,,,,1-1.1,,,,,,,1.6-3.7,25-35,100-116,,,,,,,,,,,,,,,
 n,,,,1,2,1,1,1,,,1,2,2,2,1,1,1,1,,,,,1,1,1,,1,,1
3050,"Garden peas, fresh, boiled, drained (without salt)",,413,71.1,1.1,8.3,0.7,8.5,10.4,98,28,2.1,19,102,131,3,3.67,2,29,57,0,343,0.2,0.09,1.6,113,113,0,26.3
3016,"Garden peas, dry, raw",1,1370,10.3,2.5,20.4,1.9,17,47.8,324,58,4.8,117,321,933,17,3.21,50,5,11,0,64,0.88,0.17,2.6,[110],[110],0,5
SD or min-max ,,,,9.3-11.3,2.4-2.7,,,,,,42-75,4.5-5.1,112-123,309-334,922-944,23-Nov,3.1-3.32,,,,,,,,2.4-2.7,,,,
 n,,,,2,2,1,1,1,,,2,2,2,2,2,2,2,1,,,,,1,1,2,,1,,1
3051,"Garden peas, dry, unsoaked, boiled, drained (without salt)",1,506,66.8,1,7.6,0.7,6.3,17.7,120,20,1.5,38,107,259,7,1.07,19,2,4,0,24,0.21,0.05,0.6,20,20,0,1
3052,"Garden peas, unsoaked, boiled (without salt, water not discarded)",1,321,78.9,0.6,4.8,0.4,4,11.2,76,16,1.1,28,76,220,6,0.75,12,1,3,0,15,0.17,0.04,0.5,16,16,0,1
3053,"Garden peas, dry, water-soaked, boiled in different water, drained (without salt)",1,506,66.8,1,7.6,0.7,6.3,17.7,120,20,1.5,38,107,259,7,1.07,19,2,4,0,24,0.21,0.05,0.6,20,20,0,1
3054,"Garden peas, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,321,78.9,0.6,4.8,0.4,4,11.2,76,16,1.1,28,76,220,6,0.75,12,1,3,0,15,0.17,0.04,0.5,16,16,0,1
3017,"Gram, black, dry, raw",1,1330,11.4,3.51,24.6,1.7,16.3,42.5,316,84,6,113,335,718,14,2.33,43,12,23,0,140,0.31,0.11,1.8,346,346,0,3
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
3055,"Gram, black, dry, unsoaked, boiled, drained (without salt)",1,433,71.2,1.2,8,0.6,5.3,13.8,103,25,1.6,32,98,175,5,0.68,14,4,8,0,46,0.07,0.03,0.4,56,56,0,1
3056,"Gram, black, dry, unsoaked, boiled (without salt, water not discarded)",1,290,80.7,0.8,5.3,0.4,3.5,9.2,69,20,1.3,25,73,157,5,0.51,9,3,5,0,31,0.05,0.02,0.3,45,45,0,0
3057,"Gram, black, dry, water-soaked, boiled in different water, drained (without salt)",1,433,71.2,1.2,8,0.6,5.3,13.8,103,25,1.6,32,98,175,5,0.68,14,4,8,0,46,0.07,0.03,0.4,56,56,0,1
3058,"Gram, black, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,290,80.7,0.8,5.3,0.4,3.5,9.2,69,20,1.3,25,73,157,5,0.51,9,3,5,0,31,0.05,0.02,0.3,45,45,0,0
3018,"Gram, Flour",1,1490,9.6,3.75,22.7,5.4,10.1,48.5,353,58,5.2,62,170,297,2,1.5,4,3,5,0,32,0.45,0.17,1.9,193,193,0,0
SD or min-max ,,,,9-10.2,,,,,,,,2.6-7.7,,,,,,,,,,,,,,,,,
 n,,,,2,1,1,1,1,,,1,2,1,1,1,1,1,1,,,,,1,1,1,,0,,0
3019,"Gram, green, dry, raw",1,1310,11.6,4.4,27.2,[1.7],16.7,38.4,311,151,7.6,208,280,989,26,2.62,23,9,18,0,111,0.52,0.2,2.2,607,607,0,3
SD or min-max ,,,,1.3,2.08,6,0.7,,,,67,2.74,73,86,211,11,,,,,,,,,2.2-2.2,,,,
 n,,,,13,14,14,13,1,,,9,10,11,13,8,13,1,1,,,1,,1,1,2,,1,,1
3059,"Gram, green, dry, unsoaked, boiled, drained (without salt)",1,487,67.1,1.7,10.1,0.6,6.2,14.3,116,49,2.4,66,94,276,9,0.88,9,3,7,0,41,0.13,0.06,0.5,113,113,0,1
3060,"Gram, green, dry, unsoaked, boiled (without salt, water not discarded)",1,309,79.2,1.1,6.4,0.4,3.9,9,73,38,1.8,50,66,233,8,0.62,6,2,4,0,26,0.1,0.05,0.4,86,86,0,0
3061,"Gram, green, dry, water-soaked, boiled in different water, drained (without salt)",1,487,67.1,1.7,10.1,0.6,6.2,14.3,116,49,2.4,66,94,276,9,0.88,9,3,7,0,41,0.13,0.06,0.5,113,113,0,1
3062,"Gram, green, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,309,79.2,1.1,6.4,0.4,3.9,9,73,38,1.8,50,66,233,8,0.62,6,2,4,0,26,0.1,0.05,0.4,86,86,0,0
3020,"Lentils, whole, dry, raw",1,1340,9.95,3,28.4,0.6,16.8,41.3,318,83,7.4,101,308,629,11,4,33,1,2,0,10,0.4,0.19,2.54,[132],[132],0,6.8
SD or min-max ,,,,9.9-1,2.9-3,27.4-29.4,,,,,64-101,7-7.8,,298-317,629-629,,,,,,,,,,,,,,
 n,,,,2,2,2,1,1,,,2,2,1,2,2,1,1,1,,,,,1,1,1,,1,,1
3063,"Lentils, whole, dry, unsoaked, boiled, drained (without salt)",1,506,66,1.1,10.7,0.2,6.3,15.6,120,28,2.4,33,104,178,5,1.22,13,0,1,0,4,0.1,0.05,0.6,25,25,0,2
3064,"Lentils, whole, unsoaked, boiled (without salt, water not discarded)",1,316,78.8,0.7,6.7,0.2,4,9.7,75,21,1.7,24,72,148,5,0.85,8,0,0,0,2,0.08,0.04,0.5,19,19,0,1
3065,"Lentils, whole, dry, water-soaked, boiled in different water, drained (without salt)",1,506,66,1.1,10.7,0.2,6.3,15.6,120,21,1.7,24,72,148,5,0.85,8,0,1,0,4,0.1,0.05,0.6,25,25,0,2
3066,"Lentils, whole, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,316,78.8,0.7,6.7,0.2,4,9.7,75,21,1.7,24,72,148,5,0.85,8,0,0,0,2,0.08,0.04,0.5,19,19,0,1
3021,"Pigeon peas, dry, raw",1,1272,12.1,3.8,20.9,[2.1],22.1,38.9,303,172,5.4,128,272,1200,21,2.9,15,19,38,0,230,0.72,0.14,2.34,340,340,0,1.5
SD or min-max ,,,,2.1,0.5,4.2,0.8,,,,76,,49.7,58,212,11,,,,,,,,,,,,,
 n,,,,13,12,14,12,1,,,11,1,14,14,13,12,1,1,,,,,1,1,1,,1,,1
3067,"Pigeon peas, dry, unsoaked, boiled, drained (without salt)",1,553,61.8,1.7,9.1,0.9,9.6,16.9,132,65,2,48,106,391,8,1.13,7,8,17,0,100,0.2,0.05,0.7,74,74,0,0
3068,"Pigeon peas, dry, unsoaked, boiled (without salt, water not discarded)",1,398,72.5,1.2,6.5,0.7,6.9,12.1,95,56,1.7,41,85,375,8,0.91,5,6,12,0,72,0.18,0.04,0.6,64,64,0,0
3069,"Pigeon peas, dry, water-soaked, boiled in different water, drained (without salt)",1,553,61.8,1.7,9.1,0.9,9.6,16.9,132,65,2,48,106,391,8,1.13,7,8,17,0,100,0.2,0.05,0.7,74,74,0,0
3070,"Pigeon peas, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,398,72.5,1.2,6.5,0.7,6.9,12.1,95,56,1.7,41,85,375,8,0.91,5,6,12,0,72,0.18,0.04,0.6,64,64,0,0
3022,"Soybean, dry, raw",1,1605,12.7,5.2,34,[19.1],19.3,9.7,386,228,7.3,203,384,1730,7,3.83,22,0,1,0,5,0.73,0.15,2.59,359,359,0,0
SD or min-max ,,,,3,0.7,2.4,0.9,,,,141,1.8,71,226,,5,,,,,,,,,,,,,
 n,,,,4,4,5,5,1,,,5,4,4,4,1,3,1,1,,,,,1,1,1,,1,,1
3071,"Soybean, dry, unsoaked, boiled, drained (without salt)",1,661,64,2.2,14,7.9,7.9,4,159,81,2.5,72,142,533,4,1.42,9,0,0,0,2,0.19,0.05,0.7,74,74,0,0
3072,"Soybean, dry, water-soaked, boiled in different water, drained (without salt)",1,661,64,2.2,14,7.9,7.9,4,159,81,2.5,72,142,533,4,1.42,9,0,0,0,2,0.19,0.05,0.7,74,74,0,0
4001,"Amaranth, leaves, picked, raw",0.59,150,84.6,3.1,3.7,[0.2],7.2,1.3,36,280,6.8,122,89,597,18,0.92,22,326,652,0,3913,0.03,0.22,0.69,64,64,0,77
SD or min-max,,,,,,,,,,,150-410,4.6-8.9,,75-103,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,2,2,1,2,1,1,1,1,,,,,1,1,1,,1,,1
4039,"Amaranth, leaves, picked, boiled, drained (without salt)",1,158,83.8,3.2,3.9,0.3,7.6,1.3,38,280,5.3,77,84,314,14,0.73,20,309,618,0,3707,0.02,0.15,0.5,34,34,0,33
4040,"Amaranth, leaves, picked, stewed (without salt)",,186,81,3.8,4.6,0.3,8.9,1.5,45,346,8.3,151,110,737,22,1.14,27,362,725,0,4347,0.03,0.26,0.8,55,55,0,57
4002,"Bitter gourd, whole, different varieties, raw",0.97,135,89.6,0.8,1.5,[0.2],3.7,4.2,32,22,1.4,20,51,210,16,0.37,5,11,21,0,126,0.07,0.04,0.3,45,45,0,60
SD or min-max ,,,,4,0.8-0.9,0.1,0,0.2,,,20-25,0.3,14,19,93,2,0.06,1,,,,,,0,0.02,,,,19
 n,,,,3,2,4,3,3,,,2,6,3,3,3,3,3,3,,,,,1,3,3,,1,,4
4041,"Bitter gourd, whole, different varieties, boiled, drained (without salt)",1,150,88.4,0.9,1.7,0.3,4.1,4.6,36,23,1.2,13,51,117,14,0.31,5,11,21,0,126,0.05,0.03,0.2,25,25,0,43
4003,"Black (African) nightshade, indigenous, leaves, picked, raw",0.52,127,88.6,1.8,3.8,[0.1],4.3,1.3,31,100,8.6,41,68,421,10,0.65,1,2,4,0,24,0.06,0.32,1.1,404,404,0,[36]
SD or min-max,,,,,,,,,,,78-123,7.5-9.8,,55-80,,,,,,,,,,,,,,,11.7
 n,,,,1,1,1,1,1,,,2,2,1,2,1,1,1,1,,,,,1,1,1,,1,,3
4042,"Black (African) nightshade, indigenous, leaves, picked, boiled, drained (without salt)",1,121,89.1,1.7,3.6,0.1,4.1,1.3,29,91,6.2,24,58,200,7,0.46,1,2,3,0,20,0.04,0.2,0.7,192,192,0,14
4004,"Broccoli, tops and stems, raw",0.6,143,89,1,3.3,0.3,3.7,2.7,34,66,0.8,21,75,336,22,1,1,25,51,0,303,0.1,0.22,0.5,48,48,0,103
SD or min-max,,,,,,,,,,,32-100,,,,,,,,,,,,,,,,,,100-106
 n,,,,1,1,1,1,1,,,2,1,1,1,1,1,1,1,,,,,1,1,1,,1,,2
4043,"Black (African) nightshade, indigenous, leaves, picked, steamed",1,111,90.1,1.6,3.3,0.1,3.8,1.2,27,83,6,32,56,311,7,0.51,1,2,3,0,19,0.04,0.25,0.8,211,211,0,17
4044,"Broccoli, tops and stems, boiled, drained (without salt)",1,129,90.1,0.9,3,0.3,3.3,2.4,31,56,0.6,11,61,151,15,0.41,0,20,41,0,246,0.06,0.13,0.3,22,22,0,60
4045,"Broccoli, tops and stems, steamed (without salt)",1,137,89.4,1,3.2,0.3,3.6,2.6,33,60,0.6,18,69,275,18,0.52,0,22,44,0,262,0.08,0.19,0.4,28,28,0,74
4005,"Cabbage, leaf head, Chinese, raw",0.92,40,97,0.4,0.9,0.3,1.1,0.4,10,36,1.4,10,40,250,16,0,1,16,32,0,190,0.03,0.04,0.4,170,170,0,20
SD or min-max ,,,,,,,0.1-0.4,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,2,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4046,"Cabbage, leaf head, Chinese, boiled, drained (without salt)",1,41,96.9,0.4,0.9,0.3,1.1,0.4,10,35,1.1,6,37,128,12,0.15,0,15,29,0,174,0.02,0.03,0.3,87,87,0,8
4047,"Cabbage, leaf head, Chinese, steamed (without salt)",1,41,96.9,0.4,0.9,0.3,1.1,0.4,10,35,1.2,9,39,217,14,0.18,0,15,29,0,174,0.02,0.04,0.3,104,104,0,11
4006,"Cabbage, leaf head, red raw",0.84,110,91.1,0.9,1.3,[0.2],3.4,3.1,26,45,0.7,29,14,241,16,0.3,1,1,2,0,10,0.09,0.13,0.5,57,57,0,69
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
4048,"Cabbage, leaf head, red, boiled, drained (without salt)",1,113,90.9,0.9,1.3,0.2,3.5,3.2,27,44,0.5,18,13,123,12,0.23,1,1,2,0,9,0.06,0.09,0.3,29,29,0,28
4049,"Cabbage, leaf head, red, stewed (without salt)",1,102,91.7,0.8,1.2,0.2,3.1,2.9,24,42,0.7,27,13,223,15,0.28,1,1,1,0,8,0.08,0.11,0.4,37,37,0,38
4007,"Cabbage, leaf head, white, raw",0.78,76,93.8,0.7,1.1,[0.1],2.2,2.2,18,47,0.5,9,40,313,37,0.2,1,tr,tr,0,tr,0.04,0.04,0.4,15,15,0,50
SD or min-max,,,,,,,,,,,,,9-10,4,,34-40,,,,,,,,,,,,,45-54
 n,,,,1,1,1,1,1,,,1,1,2,3,1,2,1,1,,,,,1,1,1,,1,,2
4050,"Cabbage, leaf head, white, boiled, drained (without salt)",1,78,93.6,0.7,1.1,0.1,2.3,2.2,19,45,0.4,6,36,159,29,0.18,0,tr,tr,0,tr,0.03,0.03,0.3,8,8,0,20
